CustomerID,monetary,frequency,recency,cluster_labels,segmen
3957,978.0,10,121,2,Pelanggan yang Membutuhkan Perhatian
3958,1210.0,16,17,3,Pelanggan Baru
3959,1824.0,17,48,0,Pelanggan Potensial
3960,1262.0,13,17,3,Pelanggan Baru
3961,1592.0,15,33,3,Pelanggan Baru
3962,1285.0,10,6,3,Pelanggan Baru
3963,1297.0,12,11,3,Pelanggan Baru
3964,1739.0,15,16,3,Pelanggan Baru
3965,1556.0,15,3,3,Pelanggan Baru
3966,1337.0,11,14,3,Pelanggan Baru
3967,1951.0,18,5,0,Pelanggan Potensial
3968,1959.0,20,10,0,Pelanggan Potensial
3969,969.0,11,16,3,Pelanggan Baru
3970,2152.0,18,10,0,Pelanggan Potensial
3971,1120.0,11,33,3,Pelanggan Baru
3972,4938.0,18,77,1,Pelanggan Loyal
3973,4950.0,24,27,1,Pelanggan Loyal
3974,3558.0,15,2,0,Pelanggan Potensial
3975,905.0,10,2,3,Pelanggan Baru
3976,5845.0,15,3,1,Pelanggan Loyal
3977,1025.0,14,11,3,Pelanggan Baru
3978,2994.0,23,3,0,Pelanggan Potensial
3979,1675.0,15,23,3,Pelanggan Baru
3980,4012.0,16,32,1,Pelanggan Loyal
3981,5096.0,13,21,1,Pelanggan Loyal
3982,1652.0,12,19,3,Pelanggan Baru
3983,1163.0,12,1,3,Pelanggan Baru
3984,6327.0,14,37,1,Pelanggan Loyal
3985,1993.0,19,7,0,Pelanggan Potensial
3986,5908.0,18,6,1,Pelanggan Loyal
3987,1797.0,16,30,3,Pelanggan Baru
3988,1964.0,17,7,0,Pelanggan Potensial
3989,1809.0,18,18,0,Pelanggan Potensial
3990,1707.0,16,20,3,Pelanggan Baru
3991,1185.0,10,12,3,Pelanggan Baru
3992,2045.0,19,9,0,Pelanggan Potensial
3993,1105.0,11,4,3,Pelanggan Baru
3994,2131.0,19,21,0,Pelanggan Potensial
3995,1732.0,17,11,0,Pelanggan Potensial
3996,1421.0,14,26,3,Pelanggan Baru
3997,3807.0,12,44,3,Pelanggan Baru
3998,1732.0,14,8,3,Pelanggan Baru
3999,1592.0,17,37,0,Pelanggan Potensial
4000,1427.0,17,0,0,Pelanggan Potensial
4001,4646.0,18,14,1,Pelanggan Loyal
4002,6320.0,22,53,1,Pelanggan Loyal
4003,1641.0,14,1,3,Pelanggan Baru
4004,1456.0,14,7,3,Pelanggan Baru
4005,1685.0,15,0,3,Pelanggan Baru
4006,1786.0,18,3,0,Pelanggan Potensial
